civic_entrez_name civic_var_id gencode_gene_name gencode_gene_id
UGT1A 363 UGT1A12P ENSG00000228949.1
UGT1A 363 UGT1A10 ENSG00000242515.4
UGT1A 363 T ENSG00000164458.8
UGT1A 363 UGT1A11P ENSG00000227846.1
MRE11 428 MRE11A ENSG00000020922.11
UGT1A 363 UGT1A2P ENSG00000228445.1
UGT1A 363 UGT1A8 ENSG00000242366.3
UGT1A 363 UGT1A9 ENSG00000241119.1
UGT1A 363 UGT1A4 ENSG00000244474.4
UGT1A 363 UGT1A5 ENSG00000240224.1
UGT1A 363 UGT1A6 ENSG00000167165.17
UGT1A 363 UGT1A7 ENSG00000244122.2
UGT1A 363 UGT1A1 ENSG00000241635.6
UGT1A 363 UGT1A3 ENSG00000243135.4
UGT1A 363 UGT1A13P ENSG00000234143.1
